case,category,num_records,analysis_time_sec,during_total,during_BeforeAfter,during_RelationalCmp,during_FunctionArg,during_Implication,during_Feasible,post_total,post_EntryExit,post_RelationalCmp,post_ReturnExprCmp,post_VarChanged,result,violation_count,warning_count,max_risk,error
WANGMI,div_in_path,289,16.777,1,1,0,0,0,0,0,0,0,0,0,VIOLATED,1,0,10.0,
Nokon,exchange_problem,61,0.7739,1,0,1,0,0,0,0,0,0,0,0,VIOLATED,1,0,10.0,
SwordCrowdsale,greedy_contract,71,0.7347,0,0,0,0,0,0,1,1,0,0,0,VIOLATED,4,0,10.0,
BoostToken,operator_order_issue,160,5.828,2,0,0,2,0,0,0,0,0,0,0,VIOLATED,2,0,10.0,
BoostToken,indivisible_amount,162,6.0985,1,0,0,1,0,0,0,0,0,0,0,VIOLATED,4,0,10.0,
HIT,profit_opportunity,80,2.5125,1,0,0,0,1,0,0,0,0,0,0,VIOLATED,1,0,0.0,
web3bugs_5_H_07,web3bugs_5_H_07,30,0.4585,1,0,1,0,0,0,0,0,0,0,0,VIOLATED,1,0,10.0,
web3bugs_5_H_08,web3bugs_5_H_08,47,0.99,1,0,1,0,0,0,0,0,0,0,0,VIOLATED,1,0,10.0,
web3bugs_5_H_12,web3bugs_5_H_12,42,3.3818,0,0,0,0,0,0,1,0,0,1,0,VIOLATED,2,0,10.0,
web3bugs_45_H_01,web3bugs_45_H_01,216,18.3732,1,1,0,0,0,0,0,0,0,0,0,VIOLATED,2,0,10.0,
web3bugs_47_H_02,web3bugs_47_H_02,35,1.5477,0,0,0,0,0,0,1,0,1,0,0,VIOLATED,2,0,10.0,
web3bugs_51_H_02,web3bugs_51_H_02,121,3.9684,1,0,0,0,0,1,0,0,0,0,0,VIOLATED,1,0,0.0,
web3bugs_56_H_02,web3bugs_56_H_02,45,4.0391,0,0,0,0,0,0,1,1,0,0,0,VIOLATED,2,0,10.0,
web3bugs_58_H_02,web3bugs_58_H_02,84,13.8368,1,0,1,0,0,0,0,0,0,0,0,VIOLATED,1,0,10.0,
web3bugs_60_H_01,web3bugs_60_H_01,29,1.116,1,0,1,0,0,0,0,0,0,0,0,VIOLATED,1,0,10.0,
web3bugs_62_H_08,web3bugs_62_H_08,170,4.4198,0,0,0,0,0,0,1,0,1,0,0,VIOLATED,2,0,10.0,
web3bugs_70_H_10,web3bugs_70_H_10,85,3.5981,0,0,0,0,0,0,1,0,0,0,1,VIOLATED,2,0,10.0,
web3bugs_77_H_01,web3bugs_77_H_01,35,0.3526,0,0,0,0,0,0,1,0,0,1,0,VIOLATED,2,0,10.0,
web3bugs_78_H_02,web3bugs_78_H_02,25,0.5859,0,0,0,0,0,0,1,0,1,0,0,VIOLATED,2,0,10.0,
web3bugs_101_H_01,web3bugs_101_H_01,51,0.9112,1,0,1,0,0,0,0,0,0,0,0,VIOLATED,1,0,10.0,
